,지도표시 매체명,회사명,매체 위치좌표,,지번주소,도로명주소,규격,입지특성,,키워드1,키워드2,키워드3,키워드4,키워드5,거리뷰좌표,해상도,계약정보
347,광화문 코리아나 빌딩,인앤아웃컴퍼니,37.5683348,126.976584,서울 중구 태평로1가 61-1,서울 중구 세종대로 135 (태평로1가),정면: 20.0 x 60.0m 측면: 1.5 x 60.0m,.,06:00 - 24:00,광화문광장,역사문화축제,,,,"37.5698709,126.9770367,-182.7326203208576,3.5427807486631235,100",정면: 2304 x (530+6254) 측면: 160 x 6784,"*풀화면1일 20초 100회 - 8,000만원/월1일 30초 100회 - 12,000만원/월*뉴스존1일 20초 100회 - 5,000만원/월1일 30초 100회 - 7,500만원/월*측면6시간 - 5,000만원/월18시간 - 15,000만원/월*K-POP 팬클럽 시보상품1일 10회- 2,000만원/3일*기재된 내용 외의 기간 및 비용 협의 가능"
348,남대문 자유빌딩 전광판,인앤아웃컴퍼니,37.5609674,126.9797861,서울 중구 회현동1가 202-1,서울 중구 남대문로 36 (회현동1가),26.5m x 8.4m,. ,06:00 - 24:00,신세계백화점,남대문로,,,,"37.5617625,126.980833,224.5010685467997,2.3274711102609587,100",2624x800,"1일 20초 100회 - 1,200만원/월1일 30초 100회 - 1,500만원/월*기재된 내용 외의 기간 및 비용 협의 가능"
349,남대문 제분회관 전광판,인앤아웃컴퍼니,37.5588321,126.975312,서울 중구 남대문로5가 118,서울 중구 소월로 8 (남대문로5가),15.0m x 10.0m,#남대문시장 #숭례문 #남산 #남대문 #시청역 #서울역 #세종대로 ,06:00 - 24:00,숭례문,남대문시장,남산,,,"37.5599894,126.9757741,554.2624368723534,33.94148720032482,100",1920 x 1080,"1일 20초 100회 - 1,200만원/월1일 30초 100회 - 1,500만원/월*기재된 내용 외의 기간 및 비용 협의 가능"
350,명동 M-Vision,인앤아웃컴퍼니,37.5635559,126.9834136,서울 중구 명동2가 55-1,서울 중구 명동길 20 (명동2가),6.0m x 11.5m,.,06:00 - 24:00,명동거리,글로벌관광,,,,"37.5637791,126.9834973,889.9276027740708,22.99465240641769,100",960 x 1856,1일 20초 100회 - 800만원/월1일 30초 70회 - 800만원/월*기재된 내용 외의 기간 및 비용 협의 가능
351,명동 엠라이브,인앤아웃컴퍼니,37.5616261,126.9849291,서울특별시 중구 충무로1가  26-1,서울특별시 중구 명동8길  54-1 구두수선대257,4.2m x 8.0m,.,06:00 - 24:00,명동역,CGV,명동거리,,,"37.5614619,126.9850517,1038.05594502006,28.47593582887757,100",1080 x 1920,1일 20초 100회 - 800만원/월*기재된 내용 외의 기간 및 비용 협의 가능
352,명동 가톨릭평화방송,인앤아웃컴퍼니,37.5640927,126.9882369,서울특별시 중구 저동1가  2-3,서울특별시 중구 삼일대로  330 평화빌딩,5.2m x 17.3m,#강북강남 연결도로 #정체구역 #정면노출 #명동 #평화방송 #명동성당 ,06:00 - 24:00,남산1호터널,명동대성당,,,,"37.5633582,126.9883334,345.947745059028,10.726855381281869,100",512 x 1728,1일 20초 100회 - 700만원/월*기재된 내용 외의 기간 및 비용 협의 가능
353,명동 고려빌딩,인앤아웃컴퍼니,37.5631215,126.9822761,서울 중구 명동2가 86,서울 중구 남대문로 68 (명동2가),10.0m x 6.3m,.,06:00 - 24:00,남대문로,중국대사관,,,,"37.5638145,126.9820534,1229.1655706885092,6.751336898396424,100",1920 x 1080,1일 20초 100회 - 1000만원/월*기재된 내용 외의 기간 및 비용 협의 가능
354,명동 롯데백화점,인앤아웃컴퍼니,37.5653752,126.982166,서울특별시 중구 을지로1가  140-1,서울특별시 중구 을지로  30 롯데호텔,13.0m x 8.0m,"국내 최대 상권이자 대표적인 관광특구, 서울 문화・금융의 중심지, 관광・쇼핑 중심지",06:00 - 24:00,을지로입구역,글로벌관광,면세점,,,"37.5660914,126.9827829,-159.7860962566845,10.768716577540099,90",1280 x 720,"1일 20초 100회 - 1,500만원/월*기재된 내용 외의 기간 및 비용 협의 가능"
355,명동 신한은행,인앤아웃컴퍼니,37.5638933,126.9846024,서울특별시 중구 명동1가  53-1,서울특별시 중구 명동길  43 신한은행,13.0m x 8.0m,.,07:00 - 23:00,명동거리,관광특구,,,,"37.5637388,126.9841597,54.36926794091859,11.877892111066624,90",1248 x 768,"1일 20초 100회 - 800만원/월1일 30초 100회 - 1,000만원/월*기재된 내용 외의 기간 및 비용 협의 가능"
356,명동 충무빌딩,인앤아웃컴퍼니,37.5608792,126.9832305,서울 중구 충무로1가 25-50,서울 중구 퇴계로 103 (충무로1가),11.6m x 6.9m,.,06:00 - 24:00,퇴계로,남산,쇼핑,면세점,,"37.5604851,126.982476,37.24131888083182,12.26769361333058,90",1920 x 1080,1일 20초 100회 - 900만원/월*기재된 내용 외의 기간 및 비용 협의 가능
357,반포 르본시티(성모병원방향),인앤아웃컴퍼니,37.5048073,127.0023661,서울특별시 서초구 반포동  19-1,서울특별시 서초구 신반포로  162 강남귀금속타운,16.0m x 9.0m,#고속터미널 #교통 #반포 #백화점 #파미에스테이션 #상가 #정체구간 #성모병원 ,06:00 - 24:00,성모병원방향,,,,,"37.503472,127.002147,-15.789710551585944,8.466959307610606,100",1920 x 1080,1일 20초 100회 - 500만원/월1일 30초 100회 - 600만원/월*기재된 내용 외의 기간 및 비용 협의 가능
358,반포 르본시티(터미널방향),인앤아웃컴퍼니,37.5048914,127.0023898,서울특별시 서초구 반포동  19-1,서울특별시 서초구 신반포로  162 강남귀금속타운,15.0m x 9.0m,#고속터미널 #교통 #환승 #반포 #백화점 #파미에스테이션 #상가 #정체구간 ,06:00 - 24:00,터미널방향,,,,,"37.505883,127.003508,200.3898934048371,7.131566173168459,100",1920 x 1080,1일 20초 100회 - 500만원/월1일 30초 100회 - 600만원/월*기재된 내용 외의 기간 및 비용 협의 가능
359,삼성동 슈페리어타워,인앤아웃컴퍼니,37.5081885,127.0619836,서울특별시 강남구 대치동  945-6,서울특별시 강남구 테헤란로  528 슈페리어타워,12.7m x 17.3m,.,06:00 - 24:00,파르나스몰,삼성역,전시,,,"37.508879,127.0627784,-155.4410156495941,9.134655874831665,100",1248 x 1696,"1일 20초 100회 - 1,200만원/월1일 30초 100회 - 1,500만원/월*기재된 내용 외의 기간 및 비용 협의 가능"
360,삼성동 랜드마크빌딩,인앤아웃컴퍼니,37.5145599,127.0594994,서울 강남구 삼성동 77-11,서울 강남구 영동대로 607 (삼성동),12.4m x 18.2m,.,06:00 - 24:00,코엑스,면세점,도심공항,,,"37.5132238,127.0609906,-58.72773595134125,5.539366666718195,100",1216 x 1792,"1일 20초 100회 - 1,200만원/월1일 30초 100회 - 1,500만원/월*기재된 내용 외의 기간 및 비용 협의 가능"
361,삼성동 시그니처 스퀘어,인앤아웃컴퍼니,37.5093681,127.0664253,서울 강남구 대치동 997-4,서울 강남구 테헤란로 626 (대치동),(25+16)m x 10m,#테헤란로 #삼성동 #분당수서도로 #잠실야구장 #메디톡스 ,06:00 - 24:00,잠실야구장,분당수서도로,,,,"37.5101314,127.067721,-145.52828969008127,9.031933326028414,100",(1464+960) x 576,1일 20초 100회 - 1200만원/월1일 30초 100회 - 1500만원/월*기재된 내용 외의 기간 및 비용 협의 가능
362,삼성동 신라스테이,인앤아웃컴퍼니,37.509905,127.0631771,서울 강남구 삼성동 168-3,서울 강남구 영동대로 506 (삼성동),13.3m x 16.9m,#삼성역 #코엑스 #파르나스몰 #도심공항터미널 #무역센터 #특급호텔 #비즈니스타운 #광고특구 ,07:00 - 23:00,특급호텔,파르나스몰,무역센터,,,"37.5115345,127.0615933,-224.5732909941775,5.642089215521409,100",1312 x 1664,"1일 20초 100회 - 1,200만원/월1일 30초 100회 - 1,500만원/월*기재된 내용 외의 기간 및 비용 협의 가능"
363,코엑스 미디어타워,인앤아웃컴퍼니,37.5130928,127.0598122,서울 강남구 삼성동 159,서울 강남구 영동대로 517 (삼성동),10.7 x 29.6m x 2면 (양면),#코엑스 #삼성역 #도심공항터미널 #비즈니스 #특급호텔 #현대백화점 #파르나스몰 #전시 ,06:00 - 24:00,코엑스,삼성역,파르나스몰,호텔,,"37.5120936,127.0616173,-78.45046532156611,2.509051477022516,100",960 x 2112,"1일 20초 70회 - 3,000만원/월1일 30초 70회 - 4,000만원/월*기재된 내용 외의 기간 및 비용 협의 가능"
364,동대문 두타몰,인앤아웃컴퍼니,37.5688912,127.0087831,서울 중구 을지로6가 18-12,서울 중구 장충단로 275 (을지로6가),14.0m x 8.0m,.,06:00 - 24:00,DDP,패션몰,,,,"37.5682795,127.0094772,-32.63620855532017,6.926121075561941,100",1920 x 1080,1일 20초 100회 - 500만원/월*기재된 내용 외의 기간 및 비용 협의 가능
365,동대문 맥스타일,인앤아웃컴퍼니,37.5688157,127.0105217,서울 중구 신당동 773,서울 중구 마장로 3 (신당동),12.8m x 17.6m,.,06:00 - 24:00,DDP,평화시장,,,,"37.5693413,127.0096838,113.58933966609463,14.938479882214775,100",1248 x 1728,"1일 20초 100회 - 1,000만원/월1일 30초 100회 - 1,200만원/월*기재된 내용 외의 기간 및 비용 협의 가능"
366,동대문 피아비스콤,인앤아웃컴퍼니,37.5702784,127.0099892,서울 종로구 창신동 440-10,서울 종로구 율곡로 309 (창신동),7.0m x 12.0m,.,06:00 - 24:00,DDP,패션쇼,전시,,,"37.5696366,127.0096562,367.3653964845039,4.923031373898695,100",640 x 1120,"1일 20초 100회 - 800만원/월1일 30초 100회 - 1,000만원/월*기재된 내용 외의 기간 및 비용 협의 가능"
367,명동 동아닷컴,인앤아웃컴퍼니,37.563973,126.9824424,서울 중구 남대문로2가 12-3,서울 중구 남대문로 76 (남대문로2가),14.4m x 8.6m,#을지로입구 #명동 #남산3호터널 #버스승하차 #롯데백화점 #신세계백화점 #쇼핑 #관광 ,06:00 - 24:00,롯데백화점,남산3호터널,,,,"37.5637863,126.9816858,420.9352056853954,6.617953429152198,100",1440 x 864,1일 20초 100회 - 1000만원/월*기재된 내용 외의 기간 및 비용 협의 가능
368,삼성동 파르나스 미디어타워,인앤아웃컴퍼니,37.5089244,127.0617279,서울특별시 강남구 삼성동  159-8,서울특별시 강남구 테헤란로  521 파르나스타워,12.3 x 26.0m x 2면 (양면),#삼성역 #파르나스몰 #현대백화점 #코엑스몰 #도심공항터미널 #호텔 #비즈니스 #전시 #컨퍼런스 ,06:00 - 24:00,전시·비즈니,,,,,"37.508763,127.062348,641.3264341427514,7.850624014791108,100",1440 x 2560,"1일 20초 70회 - 4,000만원/월1일 30초 70회 - 5,000만원/월*기재된 내용 외의 기간 및 비용 협의 가능"
369,신촌오거리 전광판,인앤아웃컴퍼니,37.5547134,126.9375314,서울 마포구 노고산동 31-11,서울 마포구 신촌로 104 (노고산동),13.2m x 8.7m,#신촌 #신촌오거리 #대학가 #2030 #2호선 #현대백화점 #쇼핑 #맛집 ,07:00 - 22:00,연세대,현대백화점,,,,"37.55516,126.9364554,828.1787504158488,-2.2675470423282564,100",1920x1080,1일 20초 100회 -700만원/월*기재된 내용 외의 기간 및 비용 협의 가능
370,여의도 더현대 파크원,인앤아웃컴퍼니,37.5251513,126.9285795,서울특별시 영등포구 여의도동  22,서울특별시 영등포구 여의대로  108 파크원,11.5m x 19.5m,대한민국 정치·금융의 허브 ‘여의도' 중심에 위치한 더 현대 파크원 전광판,06:00 - 24:00,더현대,대형몰,호텔,,,"37.5244101,126.9283834,1083.598368015115,19.30418820635263,100",1056 x 1824,"1일 20초 100회 - 1,200만원/월1일 30초 100회 - 1,500만원/월*기재된 내용 외의 기간 및 비용 협의 가능"
371,을지로입구 창강빌딩,인앤아웃컴퍼니,37.5668844,126.983249,서울 중구 수하동 65-1,서울 중구 남대문로10길 6 (수하동),13.0m x 17.2m,.,06:00 - 24:00,명동거리,롯데백화점,,,,"37.5658115,126.9825774,1092.5865910354037,4.871670099497085,100",1280 x 1696,"1일 20초 100회 - 1,200만원/월1일 30초 100회 - 1,500만원/월*기재된 내용 외의 기간 및 비용 협의 가능"
372,현대백화점 천호점,인앤아웃컴퍼니,37.5389906,127.1244167,서울 강동구 천호동 572,서울 강동구 천호대로 1005 (천호동),11.5m x 19.5m,#천호동 #강동구 #현대백화점 #이마트 #로데오거리 #사거리 #복합상권 ,06:00 - 24:00,이마트,로데오거리,,,,"37.5385494,127.1235065,52.6953179546377,12.082993265057723,100",1056 x 1824,1일 20초 100회 - 700만원/월1일 30초 100회 - 900만원/월*기재된 내용 외의 기간 및 비용 협의 가능
373,충무로 허주회관,인앤아웃컴퍼니,37.5614239,126.9899624,서울 중구 충무로2가 52-6,서울 중구 퇴계로 163 (충무로2가),9.3m x 6.8m,#충무로 #명동 #교차로 #남산진입로 #신세계본점 #남산3호터널 ,06:00 - 24:00,힙지로,신세계본점,,,,"37.5611449,126.9891342,418.5100350118991,-1.8368898631620048,90",9.3 x 6.8,1일 20초 100회 - 600만원/월*기재된 내용 외의 기간 및 비용 협의 가능
374,테헤란로 아이타워,인앤아웃컴퍼니,37.5021495,127.0426205,서울 강남구 역삼동 720-7,서울 강남구 테헤란로 242 (역삼동),11.3 x 17.6m,.,06:00 - 24:00,주거상업복합,센터필드,,,,"37.5028522,127.0427735,-189.92146742375473,9.42408401055515,100",1104 x 1728,1일 20초 100회 - 1200만원/월*기재된 내용 외의 기간 및 비용 협의 가능
375,명동 스타일 스퀘어(신세계백화점 신관) 전광판,인앤아웃컴퍼니,37.5603276,126.980743,서울 중구 충무로1가 54,서울 중구 퇴계로 77 (충무로1가),12.5m x 17.5m,#신세계백화점 본점 #신세계면세점 #명동 #명품 #글로벌 관광객 #퇴계로 #남대문 #크리스마스 파사드 ,06:00 - 24:00,남대문시장,면세점,명품,외국인관광,,"37.5605797,126.9830673,-108.12041821213688,2.450261842744325,100",1152 x 1632,"1일 20초 80회 - 1,700만원/월1일 30초 80회 - 2,000만원/월*기재된 내용 외의 기간 및 비용 협의 가능"
376,서울역 광장 전광판,인앤아웃컴퍼니,37.5542837,126.9720433,서울특별시 용산구 동자동  43-205,서울특별시 용산구 한강대로  405 서울역(철도역),17.0m x 9.6m,#서울역 #KTX #교통 #기차 #공항철도 #전국각지 인파 #상시노출지역 ,06:00 - 24:00,KTX,중앙광장,,,,"37.5549545,126.9720271,-192.7713938347206,8.65988784288093,90",1326*800,"1일 20초 120회 - 1,200만원/월1일 30초 80회 - 1,200만원/월*기재된 내용 외의 기간 및 비용 협의 가능"
377,이태원 에비뉴빌딩,인앤아웃컴퍼니,37.5348224,126.9952802,서울 용산구 이태원동 123-26,서울 용산구 이태원로 191 (이태원동),12.1m x 14.0m,.,06:00 - 23:00,우사단로,대사관,축제,,,"37.5345042,126.994461,-320.9924646464637,8.512507301718005,90",1184 x 1376 ,1일 20초 100회 - 1000만원/월*기재된 내용 외의 기간 및 비용 협의 가능
378,이태원 스크린,인앤아웃컴퍼니,37.5342574,126.9942062,서울 용산구 이태원동 127-12,서울 용산구 이태원로 180 (이태원동),27.0 x 7.8m,.,06:00 - 24:00,글로벌축제,퀴논길,,,,"37.5344511,126.9936084,461.5982089286682,7.186082431251719,90","2400 x 688 (전면 2016x688, 측면 384x688)",1일 15초 100회 - 1000만원/월1일 30초 100회 - 1500만원/월*기재된 내용 외의 기간 및 비용 협의 가능
379,이태원 해밀턴 파노라마,인앤아웃컴퍼니,37.5348612,126.9936391,서울 용산구 이태원동 108-9,서울 용산구 이태원로 179 (이태원동),42m x 5.3m,. ,06:00 - 24:00,이태원삼거리,글로벌축제,,,,"37.5343267,126.9939646,312.1543401894627,11.656625513193784,90","4200 x 520 (전면 3680x520, 측면 520x520)",1일 15초 100회 - 1000만원/월1일 30초 100회 - 1500만원/월*기재된 내용 외의 기간 및 비용 협의 가능
381,광주 대산빌딩 전광판,인앤아웃컴퍼니,35.1619341,126.8831213,광주 서구 광천동 38-2,광주 서구 죽봉대로 95 (광천동),17.9m x 9.6m,. ,06:00 - 24:00,신세계백화점,광천동사거리,터미널,유스퀘어,,"35.1612279,126.8835958,-33.99732643182762,8.869100816144957,100",제작가이드 별도문의,1일 20초 100회 - 500만원/월*기재된 내용 외의 기간 및 비용 협의 가능
382,광주 신세계안과 광연빌딩 전광판,인앤아웃컴퍼니,35.1615993,126.883877,광주 서구 광천동 38,광주 서구 죽봉대로 92 (광천동),13.6m x 7.7m,. ,06:00 - 24:00,유스퀘어,광천사거리,터미널,신세계백화점,,"35.1612514,126.8828856,66.50134004509238,3.6865539536988194,100",1408 x 768,1일 20초 100회 - 660만원/월*기재된 내용 외의 기간 및 비용 협의 가능
383,동대구역네거리 은종빌딩,인앤아웃컴퍼니,35.8773033,128.6261962,대구 동구 신천동 66-1,대구 동구 동대구로 525-1 (신천동),전면 14.7m x 8.4m 측면 4.5m x 8.4m,#동대구역 #동대구역네거리 #KTX #버스터미널 #신세계백화점 #지하철 #동대구로 ,06:00 - 23:00,동대구역,버스터미널,,,,"35.8781113,128.6266613,-158.35737908018945,3.5626585614707547,90",전면 14.7 x 8.4 측면 4.5 x 8.4,1일 20초 120회 - 500만원/월전면 단독 - 400만원/월*기재된 내용 외의 기간 및 비용 협의 가능
384,대구 동대구역네거리,인앤아웃컴퍼니,35.8759865,128.6245685,대구 동구 신천동 75-1,대구 동구 동대구로85길 64 (신천동),14.0m x 8.0m,#대구 #동대구역 #KTX #동대구로 #동부로 #버스터미널 #신세계백화점 ,06:30 - 23:00,KTX,동대구로,동부로,,,"35.876411,128.6252413,-491.9164634446913,3.899198427505834,90",제작가이드 별도문의,1일 20초 120회 - 350만원/월*기재된 내용 외의 기간 및 비용 협의 가능
